COD_CONTA,DSC_ESTADO_CIVIL,DSC_SUITABILITY
1,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
2,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
3,SOLTEIRO(A),AGRESSIVO
4,SOLTEIRO(A),AGRESSIVO
5,SOLTEIRO(A),MODERADO
6,SOLTEIRO(A),AGRESSIVO
7,UNIÃO ESTÁVEL,AGRESSIVO
8,SOLTEIRO(A),AGRESSIVO
9,SOLTEIRO(A),AGRESSIVO
10,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
11,DIVORCIADO(A),AGRESSIVO
12,SOLTEIRO(A),MODERADO
13,SOLTEIRO(A),AGRESSIVO
14,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
15,SOLTEIRO(A),AGRESSIVO
16,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
17,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
18,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
19,SOLTEIRO(A),AGRESSIVO
20,SOLTEIRO(A),AGRESSIVO
21,SOLTEIRO(A),MODERADO
22,SOLTEIRO(A),AGRESSIVO
23,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
24,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
25,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
26,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
27,SOLTEIRO(A),AGRESSIVO
28,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
29,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
30,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
31,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
32,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
33,DIVORCIADO(A),AGRESSIVO
34,SOLTEIRO(A),AGRESSIVO
35,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
36,SOLTEIRO(A),MODERADO
37,DIVORCIADO(A),AGRESSIVO
